Record Length,2250,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000450000,-1.04000,
Vertical Scale,CH1:2.00,,-0.00000449600,-1.04000,
Vertical Offset,CH1:-0.08000,,-0.00000449200,-1.12000,
Horizontal Units,s,,-0.00000448800,-0.96000,
Horizontal Scale,0.0000005000,,-0.00000448400,-0.88000,
Model Number,ADS-3072B,,-0.00000448000,-0.72000,
Serial Number,NEU00004121681,,-0.00000447600,-0.48000,
Software Version,5.01.02.13,,-0.00000447200,-0.40000,
,,,-0.00000208800,0.08000,
,,,-0.00000208400,0.16000,
,,,-0.00000208000,0.16000,
,,,-0.00000207600,0.16000,
,,,-0.00000207200,0.16000,
,,,-0.00000206800,0.16000,
,,,-0.00000206400,0.16000,
,,,-0.00000206000,0.08000,
,,,-0.00000205600,0.16000,
,,,-0.00000205200,0.16000,
,,,-0.00000204800,0.08000,
,,,-0.00000204400,0.16000,
,,,-0.00000204000,0.16000,
,,,-0.00000203600,0.16000,
,,,-0.00000203200,0.16000,
,,,-0.00000202800,0.16000,
,,,-0.00000202400,0.16000,
,,,-0.00000202000,0.16000,
,,,-0.00000201600,0.16000,
,,,-0.00000201200,0.16000,
,,,-0.00000200800,0.16000,
,,,-0.00000200400,0.24000,
,,,-0.00000200000,0.08000,
,,,-0.00000199600,0.16000,
,,,-0.00000199200,0.16000,
,,,-0.00000198800,0.08000,
,,,-0.00000198400,0.16000,
,,,-0.00000198000,0.08000,
,,,-0.00000197600,0.08000,
,,,-0.00000197200,0.08000,
,,,-0.00000196800,0.08000,
,,,-0.00000196400,0.16000,
,,,-0.00000196000,0.08000,
,,,-0.00000195600,0.08000,
,,,-0.00000195200,0.08000,
,,,-0.00000194800,0.08000,
,,,-0.00000194400,0.08000,
,,,-0.00000194000,0.08000,
,,,-0.00000193600,0.08000,
,,,-0.00000193200,0.08000,
,,,-0.00000192800,0.16000,
,,,-0.00000192400,0.08000,
,,,-0.00000192000,0.08000,
,,,-0.00000191600,0.08000,
,,,-0.00000191200,0.08000,
,,,-0.00000190800,0.08000,
,,,-0.00000190400,0.16000,
,,,-0.00000190000,0.08000,
,,,-0.00000189600,0.24000,
,,,-0.00000189200,0.16000,
,,,-0.00000188800,0.16000,
,,,-0.00000188400,0.24000,
,,,-0.00000188000,0.16000,
,,,-0.00000187600,0.24000,
,,,-0.00000187200,0.16000,
,,,-0.00000186800,0.16000,
,,,-0.00000186400,0.16000,
,,,-0.00000186000,0.08000,
,,,-0.00000185600,0.00,
,,,-0.00000185200,0.00,
,,,-0.00000184800,0.00,
,,,-0.00000184400,0.00,
,,,-0.00000184000,0.00,
,,,-0.00000183600,0.00,
,,,-0.00000183200,0.08000,
,,,-0.00000182800,0.08000,
,,,-0.00000182400,0.24000,
,,,-0.00000182000,0.16000,
,,,-0.00000181600,0.24000,
,,,-0.00000181200,0.24000,
,,,-0.00000180800,0.16000,
,,,-0.00000180400,0.16000,
,,,-0.00000180000,0.08000,
,,,-0.00000179600,0.08000,
,,,-0.00000179200,0.08000,
,,,-0.00000178800,0.00,
,,,-0.00000178400,0.08000,
,,,-0.00000178000,0.08000,
,,,-0.00000177600,0.00,
,,,-0.00000177200,0.08000,
,,,-0.00000176800,0.16000,
,,,-0.00000176400,0.16000,
,,,-0.00000176000,0.16000,
,,,-0.00000175600,0.16000,
,,,-0.00000175200,0.16000,
,,,-0.00000174800,0.16000,
,,,-0.00000174400,0.16000,
,,,-0.00000174000,0.08000,
,,,-0.00000173600,0.16000,
,,,-0.00000173200,0.16000,
,,,-0.00000172800,0.08000,
,,,-0.00000172400,0.16000,
,,,-0.00000172000,0.08000,
,,,-0.00000171600,0.08000,
,,,-0.00000171200,0.08000,
,,,-0.00000170800,0.08000,
,,,-0.00000170400,0.16000,
,,,-0.00000170000,0.08000,
,,,-0.00000169600,0.16000,
,,,-0.00000169200,0.08000,
,,,-0.00000168800,0.08000,
,,,-0.00000168400,0.08000,
,,,-0.00000168000,0.00,
,,,-0.00000167600,0.00,
,,,-0.00000167200,0.00,
,,,-0.00000166800,0.00,
,,,-0.00000166400,0.08000,
,,,-0.00000166000,0.08000,
,,,-0.00000165600,0.08000,
,,,-0.00000165200,0.08000,
,,,-0.00000164800,0.16000,
